method,encoder,id_auprc_mean,id_auprc_std,n_folds,sources,note
LR,DINOv2,0.236899,0.016622,3,results/heldout_disease_logreg_cv_summary.csv,
MLP,DINOv2,0.246707,0.016665,3,results/heldout_disease_baseline_cv_summary.csv,
MC Dropout,DINOv2,0.305159,0.010901,3,results/heldout_disease_mc_dropout_mean_p0.3_T100_cv_summary.csv,
Energy,DINOv2,0.296549,0.015773,3,results/heldout_disease_energy_cv_summary.csv,
VOS,DINOv2,0.309694,0.020750,3,results/heldout_disease_vos_cv_summary.csv,
EDL,DINOv2,0.310941,0.033151,3,results/heldout_disease_edl_mean_softplus_ann25_kl0p10_cv_summary.csv,
LR,FETAL-CLIP,0.484897,0.021853,3,results/heldout_disease_baseline_fetal_clip_fold0of3_summary.csv;results/heldout_disease_baseline_fetal_clip_fold1of3_summary.csv;results/heldout_disease_baseline_fetal_clip_fold2of3_summary.csv,
MLP,FETAL-CLIP,,,0,,NOT YET AVAILABLE: no fetal-clip MLP-head summary file found.
MC Dropout,FETAL-CLIP,0.481629,0.026684,3,results/heldout_disease_mc_dropout_fetal_clip_fold0of3_mean_p0.3_T100_summary.csv;results/heldout_disease_mc_dropout_fetal_clip_fold1of3_mean_p0.3_T100_summary.csv;results/heldout_disease_mc_dropout_fetal_clip_fold2of3_mean_p0.3_T100_summary.csv,
Energy,FETAL-CLIP,0.484797,0.015275,3,results/heldout_disease_energy_fetal_clip_fold0of3_summary.csv;results/heldout_disease_energy_fetal_clip_fold1of3_summary.csv;results/heldout_disease_energy_fetal_clip_fold2of3_summary.csv,Uses fetal-clip checkpoint/config id saved in the Energy summaries.
VOS,FETAL-CLIP,0.499917,0.031909,3,results/heldout_disease_vos_fetal_clip_fold0of3_summary.csv;results/heldout_disease_vos_fetal_clip_fold1of3_summary.csv;results/heldout_disease_vos_fetal_clip_fold2of3_summary.csv,
EDL,FETAL-CLIP,0.455982,0.028709,3,results/heldout_disease_edl_fetal_clip_fold0of3_mean_softplus_ann25_kl0p10_T100_summary.csv;results/heldout_disease_edl_fetal_clip_fold1of3_mean_softplus_ann25_kl0p10_T100_summary.csv;results/heldout_disease_edl_fetal_clip_fold2of3_mean_softplus_ann25_kl0p10_T100_summary.csv,
prevalence_floor,ID-test positive prevalence,0.127991,,,results/heldout_disease_logreg_fold0of3_predictions.csv;results/heldout_disease_logreg_fold1of3_predictions.csv;results/heldout_disease_logreg_fold2of3_predictions.csv,Horizontal dashed line in the figure.
