method,unit,score_col,disease,kind,n_folds,n_per_fold,ood_auroc_vs_normal_mean,ood_auroc_vs_normal_std,detection_rate_at_tau_mean,detection_rate_at_tau_std,recall_mean,recall_std,mean_ood_score_mean,mean_ood_score_std,mean_proba_chd_mean,mean_proba_chd_std
baseline,video,uncertainty_entropy,tetralogy,held-out,1,4979.0,0.5154483767881413,,0.0447881100622615,,0.6431010243020687,,0.8834169651134498,,0.5677890576871883,
baseline,video,uncertainty_entropy,avsd,held-out,1,3481.0,0.5243573527375892,,0.05056018385521402,,0.6104567652973284,,0.8801021426817904,,0.562029307586679,
baseline,video,uncertainty_entropy,raa,seen,1,1679.0,0.5003421100038953,,0.04169148302561048,,0.5789160214413341,,0.8692058915711588,,0.5364729681281354,
baseline,video,uncertainty_entropy,coa,seen,1,1294.0,0.5535633267236556,,0.05255023183925812,,0.5502318392581144,,0.8979905267393259,,0.5339044292919465,
baseline,video,uncertainty_entropy,a_stenosis,held-out,1,1106.0,0.534202483600631,,0.0461121157323689,,0.5623869801084991,,0.8904136531929174,,0.5391823485978688,
baseline,video,uncertainty_entropy,tga,seen,1,820.0,0.49663313320453517,,0.054878048780487805,,0.6390243902439025,,0.8731838193804057,,0.5731569882209708,
baseline,video,uncertainty_entropy,tetralogy,held-out,3,4979.0,0.5296687633270261,0.02034561620021132,0.04934056370087702,0.005018409943605856,0.7130615250719688,0.05941858146941199,0.8323082007225268,0.03472491018124976,0.5609682639800003,0.019569781952375482
baseline,video,uncertainty_entropy,avsd,held-out,3,3481.0,0.530988248249674,0.020487626818366984,0.053241405726323854,0.00373824021755111,0.7028631619266495,0.06162965405662175,0.8284235228461889,0.039998967726069874,0.5575446121707305,0.02205037241600005
baseline,video,uncertainty_entropy,tga,seen,3,2047.3333333333333,0.5315565428749188,0.026050922634256013,0.05266739623382358,0.004542428476812597,0.7222762145398821,0.058195961437968916,0.8334722774937972,0.03862953027301441,0.56874151427058,0.017535207462177276
baseline,video,uncertainty_entropy,raa,seen,3,2017.3333333333333,0.527239181409457,0.018966434441623402,0.05228015630108282,0.009529035564086172,0.6724757879746894,0.05149829510037754,0.8244933570891756,0.03971782510576572,0.5352846150434386,0.020879345525654305
baseline,video,uncertainty_entropy,coa,seen,3,1946.0,0.5573439383751092,0.013334543185708005,0.06568823971956377,0.010460818561059647,0.6685500290495817,0.06599326594104767,0.8460127430955208,0.03482783190782109,0.5306918494179774,0.01704005285750472
baseline,video,uncertainty_entropy,a_stenosis,held-out,3,1106.0,0.5402966694095529,0.029782335864551073,0.05093429776974081,0.009056648102059504,0.6880650994575045,0.05749769654822659,0.8353974862684576,0.04549117016514008,0.5398906923615362,0.025746237512745237
edl_mean_relu_ann10,subject,uncertainty_dirichlet,tetralogy,held-out,1,115.0,0.5700759559979046,,0.05217391304347826,,0.6173913043478261,,0.27742661496867305,,0.1387133074843365,
edl_mean_relu_ann10,subject,uncertainty_dirichlet,avsd,held-out,1,86.0,0.638799383580835,,0.13953488372093023,,0.7325581395348837,,0.27742794156074524,,0.1387139707803726,
edl_mean_relu_ann10,subject,uncertainty_dirichlet,raa,seen,1,42.0,0.6134538152610441,,0.07142857142857142,,0.6428571428571429,,0.27742732280776616,,0.13871366140388303,
edl_mean_relu_ann10,subject,uncertainty_dirichlet,coa,seen,1,34.0,0.5941265060240964,,0.11764705882352941,,0.5882352941176471,,0.2774270676514682,,0.1387135338257341,
edl_mean_relu_ann10,subject,uncertainty_dirichlet,a_stenosis,held-out,1,26.0,0.7178521779425394,,0.11538461538461539,,0.8076923076923077,,0.27742869005753445,,0.13871434502876717,
edl_mean_relu_ann10,subject,uncertainty_dirichlet,tga,seen,1,19.0,0.6509194673430565,,0.2631578947368421,,0.7368421052631579,,0.2774280293991691,,0.13871401469958453,
edl_mean_softplus_ann25_kl0p00,subject,uncertainty_dirichlet,tetralogy,held-out,1,115.0,0.36432687270822417,,0.1391304347826087,,0.5217391304347826,,0.053102001742176344,,0.44752229478048244,
edl_mean_softplus_ann25_kl0p00,subject,uncertainty_dirichlet,avsd,held-out,1,86.0,0.3753502381619501,,0.12790697674418605,,0.47674418604651164,,0.05349069309615807,,0.4428053068560223,
edl_mean_softplus_ann25_kl0p00,subject,uncertainty_dirichlet,raa,seen,1,42.0,0.4125071715433161,,0.16666666666666666,,0.5238095238095238,,0.053373587273416026,,0.4440069312141055,
edl_mean_softplus_ann25_kl0p00,subject,uncertainty_dirichlet,coa,seen,1,34.0,0.35931963146704465,,0.11764705882352941,,0.5294117647058824,,0.053368948619155275,,0.44332831747391643,
edl_mean_softplus_ann25_kl0p00,subject,uncertainty_dirichlet,a_stenosis,held-out,1,26.0,0.4150834105653383,,0.07692307692307693,,0.34615384615384615,,0.05368874881129993,,0.42640934082177967,
edl_mean_softplus_ann25_kl0p00,subject,uncertainty_dirichlet,tga,seen,1,19.0,0.41455294863665193,,0.2631578947368421,,0.6842105263157895,,0.0536501244886925,,0.46617301671128525,
edl_mean_softplus_ann25_kl0p10,subject,uncertainty_dirichlet,tetralogy,held-out,1,115.0,0.4237035096909377,,0.017391304347826087,,0.8260869565217391,,0.29332901965016905,,0.6443067572039106,
edl_mean_softplus_ann25_kl0p10,subject,uncertainty_dirichlet,avsd,held-out,1,86.0,0.4942210703278229,,0.023255813953488372,,0.8023255813953488,,0.30825487160405446,,0.5980964115885801,
edl_mean_softplus_ann25_kl0p10,subject,uncertainty_dirichlet,raa,seen,1,42.0,0.4775530694205393,,0.047619047619047616,,0.7142857142857143,,0.3043971984159379,,0.5811206409264178,
edl_mean_softplus_ann25_kl0p10,subject,uncertainty_dirichlet,coa,seen,1,34.0,0.49486180014174347,,0.0,,0.7058823529411765,,0.309577634667649,,0.565699395011453,
edl_mean_softplus_ann25_kl0p10,subject,uncertainty_dirichlet,a_stenosis,held-out,1,26.0,0.5125115848007414,,0.07692307692307693,,0.8076923076923077,,0.3139369602386768,,0.5732812686608388,
edl_mean_softplus_ann25_kl0p10,subject,uncertainty_dirichlet,tga,seen,1,19.0,0.4684527584020291,,0.0,,0.8947368421052632,,0.30215434102635635,,0.6580670883781031,
edl_mean_softplus_ann25_kl0p10,video,uncertainty_dirichlet,tetralogy,held-out,3,115.0,0.5168894999200345,0.2694385633196943,0.057971014492753624,0.053131312405285104,0.7333333333333334,0.026565656202642507,0.24281223364498306,0.014702829716505706,0.6328822946850804,0.12059299331463479
edl_mean_softplus_ann25_kl0p10,video,uncertainty_dirichlet,avsd,held-out,3,86.0,0.5352746249068259,0.24693114239958316,0.031007751937984496,0.029262924167716083,0.7093023255813954,0.10335109787576262,0.24736339558464612,0.022530542432035925,0.6146910495391881,0.12333029327359804
edl_mean_softplus_ann25_kl0p10,video,uncertainty_dirichlet,raa,seen,3,55.666666666666664,0.5603631271218718,0.2133781701505336,0.08834586466165413,0.08060820166312618,0.615613106841177,0.09789313736365617,0.2548963337571119,0.02871040229376522,0.5373970881268896,0.12458935367758878
edl_mean_softplus_ann25_kl0p10,video,uncertainty_dirichlet,coa,seen,3,49.666666666666664,0.5665363652571903,0.27111563008040346,0.08307464892830746,0.0719939412876702,0.6441785549930971,0.13629004532832495,0.25980645549862713,0.021623184466969713,0.5513970703013443,0.16984670836507665
edl_mean_softplus_ann25_kl0p10,video,uncertainty_dirichlet,tga,seen,3,44.666666666666664,0.5249496508678697,0.3164957446670508,0.08220708016515872,0.06591485882632357,0.7815219271526664,0.04319089932387366,0.24674540254294308,0.009736827666721253,0.6445276911503113,0.15776717894208422
edl_mean_softplus_ann25_kl0p10,video,uncertainty_dirichlet,hlhs,seen,3,28.333333333333332,0.6003252582657765,0.28780094762265884,0.07427055702917772,0.0770601540919573,0.6994989684644857,0.12238729004823003,0.26696810868376303,0.02362543199211106,0.5831817004595785,0.11859157171585355
edl_mean_softplus_ann25_kl0p10_T10,video,uncertainty_dirichlet,tetralogy,held-out,3,115.0,0.5232893737071851,0.2769434921178705,0.0927536231884058,0.08445682483671574,0.7391304347826088,0.031352619786643374,0.23375222140896146,0.017039585965060965,0.6178895788672177,0.1221391272817322
edl_mean_softplus_ann25_kl0p10_T10,video,uncertainty_dirichlet,avsd,held-out,3,86.0,0.5388787545013741,0.2424382353403779,0.046511627906976744,0.03076455012865803,0.6937984496124031,0.040835867259119106,0.23678128727415737,0.026868930455849205,0.6040560216029255,0.11674690491540894
edl_mean_softplus_ann25_kl0p10_T10,video,uncertainty_dirichlet,raa,seen,3,55.666666666666664,0.5567740295444277,0.2232587397628872,0.10642346607258886,0.07649831476298703,0.5867098301308827,0.06435598761162627,0.24218795559560344,0.029654714615888783,0.533561286693623,0.12203683048637003
edl_mean_softplus_ann25_kl0p10_T10,video,uncertainty_dirichlet,coa,seen,3,49.666666666666664,0.5714659998371774,0.2648967535046774,0.09542456316501415,0.06733342982577227,0.6292097226289587,0.017042665708326146,0.24722179440808825,0.02678656858154642,0.5403615112871231,0.16236402030578037
edl_mean_softplus_ann25_kl0p10_T10,video,uncertainty_dirichlet,tga,seen,3,44.666666666666664,0.5239885171843176,0.3104151625965936,0.11399787910922587,0.10175718094324225,0.7739671938810044,0.06687072693021467,0.23501191661381018,0.011352467547341958,0.6260922763027738,0.15895563310604782
edl_mean_softplus_ann25_kl0p10_T10,video,uncertainty_dirichlet,hlhs,seen,3,28.333333333333332,0.6004778826181657,0.28778099995935247,0.060123784261715295,0.05373126296812908,0.6541998231653404,0.10095629172216113,0.25281380780530893,0.024574771475704457,0.5686316628229765,0.11172573085443488
edl_mean_softplus_ann25_kl0p10_T100,video,uncertainty_dirichlet,tetralogy,held-out,3,115.0,0.5268404219440831,0.2750758175576058,0.0927536231884058,0.0913388478642825,0.7188405797101449,0.03620288694723711,0.23400026903204296,0.018286703297933495,0.6168158896051456,0.1234569508459922
edl_mean_softplus_ann25_kl0p10_T100,video,uncertainty_dirichlet,avsd,held-out,3,86.0,0.5360075396179141,0.24993631627641558,0.03875968992248062,0.024205418598443405,0.7093023255813954,0.11801036703595602,0.23548615668979725,0.026342496221300648,0.6038121841414724,0.11918047219741613
edl_mean_softplus_ann25_kl0p10_T100,video,uncertainty_dirichlet,raa,seen,3,55.666666666666664,0.5630426442406832,0.2217031258856072,0.11270073331476842,0.066312994974273,0.6037083449364151,0.08052462180276979,0.24258162116504442,0.030488389112106384,0.5297469027797039,0.12340147127861882
edl_mean_softplus_ann25_kl0p10_T100,video,uncertainty_dirichlet,coa,seen,3,49.666666666666664,0.5701900322264325,0.27239726010871385,0.08706577974870659,0.08232148400116704,0.6502391610537032,0.14669112609495544,0.24595370506897507,0.025415691613162705,0.5418033312872496,0.16245973597754915
edl_mean_softplus_ann25_kl0p10_T100,video,uncertainty_dirichlet,tga,seen,3,44.666666666666664,0.5311210924215624,0.31782280462715595,0.08960763520678684,0.09885632067153378,0.7815219271526664,0.04319089932387366,0.23545592164426635,0.012258099228753348,0.6277635232651236,0.1572219689509352
edl_mean_softplus_ann25_kl0p10_T100,video,uncertainty_dirichlet,hlhs,seen,3,28.333333333333332,0.5963689450249198,0.2957932979289763,0.08311229000884174,0.08637336847689465,0.7012083701738874,0.15766576001550547,0.25112019405449665,0.02349842107378943,0.5705944719633503,0.11159063801188883
edl_mean_softplus_ann25_kl0p10_T1000,video,uncertainty_dirichlet,tetralogy,held-out,3,115.0,0.5269548303421919,0.27582072872253477,0.08695652173913043,0.07117698062497782,0.7217391304347825,0.023006533139692087,0.23383590708608212,0.01819206944325917,0.6166988445256931,0.12321933651051349
edl_mean_softplus_ann25_kl0p10_T1000,video,uncertainty_dirichlet,avsd,held-out,3,86.0,0.5371325940308731,0.2508362001962327,0.03488372093023256,0.02014012566940555,0.7054263565891473,0.11293645181653846,0.23563878636720567,0.026429597798675975,0.6022535395743542,0.11967099347806484
edl_mean_softplus_ann25_kl0p10_T1000,video,uncertainty_dirichlet,raa,seen,3,55.666666666666664,0.5640825805824814,0.22308858829918604,0.10057551285621462,0.07107448966891956,0.6038127726724217,0.08918071816898801,0.24239262345783041,0.030230861886079676,0.5299165413496141,0.12324701276514144
edl_mean_softplus_ann25_kl0p10_T1000,video,uncertainty_dirichlet,coa,seen,3,49.666666666666664,0.5700905031512442,0.2728744334506213,0.09519586104951959,0.08503588525371365,0.6502391610537032,0.14669112609495544,0.2456483499819687,0.025299672555603395,0.540054634787808,0.16432782393503545
edl_mean_softplus_ann25_kl0p10_T1000,video,uncertainty_dirichlet,tga,seen,3,44.666666666666664,0.5309777949578558,0.319175171610398,0.10498409331919406,0.10888559045580097,0.7815219271526664,0.04319089932387366,0.23537942593311498,0.012296409371661356,0.6278808105025019,0.15743795387041107
edl_mean_softplus_ann25_kl0p10_T1000,video,uncertainty_dirichlet,hlhs,seen,3,28.333333333333332,0.5995625866072487,0.2960167568949015,0.07161803713527852,0.06911837782915321,0.7012083701738874,0.15766576001550547,0.2519000203493349,0.023570640212461014,0.5695882269437954,0.11456570131090997
edl_softplus_balanced_mean_softplus_ann25,subject,uncertainty_dirichlet,tetralogy,held-out,1,115.0,0.3779596647459402,,0.034782608695652174,,0.8347826086956521,,0.90667019771493,,0.49524490807367405,
edl_softplus_balanced_mean_softplus_ann25,subject,uncertainty_dirichlet,avsd,held-out,1,86.0,0.33412720650042027,,0.046511627906976744,,0.8837209302325582,,0.9065673995849698,,0.4958310834197111,
edl_softplus_balanced_mean_softplus_ann25,subject,uncertainty_dirichlet,raa,seen,1,42.0,0.411323866896156,,0.023809523809523808,,0.7857142857142857,,0.9067178482101077,,0.49508644498529886,
edl_softplus_balanced_mean_softplus_ann25,subject,uncertainty_dirichlet,coa,seen,1,34.0,0.3313253012048193,,0.029411764705882353,,0.8529411764705882,,0.9065524024121902,,0.4958587709595175,
edl_softplus_balanced_mean_softplus_ann25,subject,uncertainty_dirichlet,a_stenosis,held-out,1,26.0,0.43668906394810014,,0.038461538461538464,,0.7307692307692307,,0.9069242064769452,,0.49476660329561967,
edl_softplus_balanced_mean_softplus_ann25,subject,uncertainty_dirichlet,tga,seen,1,19.0,0.34210526315789475,,0.0,,0.8421052631578947,,0.9065003112742775,,0.4958906989348562,
energy,subject,ood_score,tetralogy,held-out,1,115.0,0.6357517024620221,,0.0782608695652174,,0.8173913043478261,,-1.1649479946364527,,0.6014306488891674,
energy,subject,ood_score,avsd,held-out,1,86.0,0.6266110955449706,,0.03488372093023256,,0.8372093023255814,,-1.1869373342325522,,0.5911025416165547,
energy,subject,ood_score,raa,seen,1,42.0,0.6793602983362019,,0.07142857142857142,,0.7380952380952381,,-1.0659824325924827,,0.519461604977204,
energy,subject,ood_score,coa,seen,1,34.0,0.6800141743444366,,0.08823529411764706,,0.8235294117647058,,-1.0730954548891853,,0.5407547561712015,
energy,subject,ood_score,a_stenosis,held-out,1,26.0,0.6054216867469879,,0.0,,0.8076923076923077,,-1.2249622642993927,,0.5697287249540051,
energy,subject,ood_score,tga,seen,1,19.0,0.6808814204185161,,0.10526315789473684,,0.8947368421052632,,-1.0549238041827553,,0.6081669597249282,
energy,video,ood_score,tetralogy,held-out,3,115.0,0.6423271308372972,0.09149954982298161,0.10434782608695652,0.09405785935993015,0.8405797101449276,0.04289463358535868,-1.0354192438332932,0.2266695135457701,0.550155141015252,0.09285355713027378
energy,video,ood_score,avsd,held-out,3,86.0,0.6449995287825218,0.08513145282251063,0.06589147286821706,0.05243313666073132,0.8410852713178295,0.08880960649139225,-1.0325586455043896,0.2155966700381444,0.54760209812743,0.11935334377743671
energy,video,ood_score,raa,seen,3,55.666666666666664,0.6249032088582913,0.06297105801573018,0.08282279773507843,0.05623719164785933,0.7492341966026177,0.05645179636410314,-1.0996718671133783,0.27563637424372545,0.4725731116421015,0.06649059537884315
energy,video,ood_score,coa,seen,3,49.666666666666664,0.6648923761720105,0.06422329562524254,0.0941220767267707,0.06962331477247677,0.7748678687472982,0.04168416525794738,-1.0344011064804859,0.23093145064057513,0.47880358966432945,0.0971340881754525
energy,video,ood_score,tga,seen,3,44.666666666666664,0.652812012493921,0.07730221163100051,0.0514541639403443,0.04959702292081571,0.9025706399524681,0.05481047929459709,-1.0383011019038564,0.24190547087903946,0.5962240972424966,0.15340413444287596
energy,video,ood_score,hlhs,seen,3,28.333333333333332,0.6663705696485663,0.09392115546802535,0.0695254936634247,0.03258755404045265,0.8211612142646625,0.049034670642562214,-1.003441359687266,0.2471594262392786,0.49360924742033346,0.08565562601761306
logreg,video,uncertainty_entropy,tetralogy,held-out,3,4979.0,0.5273031574544215,0.005974880038406754,0.057307357568454176,0.0023961344537957127,0.6727589208006964,0.030693160542555102,0.834373710716323,0.0008805601212511044,0.5715613953887404,0.0028168998022459453
logreg,video,uncertainty_entropy,avsd,held-out,3,3481.0,0.5110109373468221,0.006179864085564937,0.05075169970315044,0.0031643611302993994,0.6543138944747677,0.027380571422832754,0.8208060545499466,0.0010636344384023356,0.5689383374128367,0.0026110935649232745
logreg,video,uncertainty_entropy,tga,seen,3,2047.3333333333333,0.5132127561753945,0.018795954824363678,0.05192695149009154,0.009165126041853404,0.661029759441906,0.03680175161025282,0.8253490529891992,0.006678004394103718,0.5724556673993507,0.0064980857232363656
logreg,video,uncertainty_entropy,raa,seen,3,2017.3333333333333,0.5039461129457462,0.00753987433738796,0.05632093122491264,0.005894268772274629,0.5997507037052471,0.014823508903917279,0.8182260446114616,0.006451004805958719,0.5365116585404998,0.008436700259700959
logreg,video,uncertainty_entropy,coa,seen,3,1946.0,0.5346759666534271,0.007177130705839216,0.05738427051608517,0.004245113083878452,0.5950397899400465,0.03164247357212854,0.840103298448914,0.003744379342341618,0.5311195773525631,0.007082522945007753
logreg,video,uncertainty_entropy,a_stenosis,held-out,3,1106.0,0.5322172956242656,0.0026588758909563627,0.058167570825798674,0.005882827394799016,0.6347197106690777,0.013682410443419148,0.8369548621188719,0.006015307176052636,0.5435018873089509,0.005196862984817691
mc_dropout_mean_p0.3_T10,video,uncertainty_entropy,tetralogy,held-out,3,115.0,0.6139904246727853,0.2460849684711405,0.13623188405797101,0.14791131388026754,0.8173913043478261,0.05702120455914784,0.6028159022983401,0.06719970577605472,0.539844961734438,0.25143820943669287
mc_dropout_mean_p0.3_T10,video,uncertainty_entropy,avsd,held-out,3,86.0,0.6319849392914095,0.2425043930515429,0.18992248062015504,0.16334346903647656,0.8294573643410853,0.08571063716083716,0.6226110454322763,0.06928534790949868,0.5508652023444053,0.2490660008371978
