bin_left,bin_right,count,histogram
0.0,0.02,0,frame_4ch_probability
0.02,0.04,0,frame_4ch_probability
0.04,0.06,0,frame_4ch_probability
0.06,0.08,0,frame_4ch_probability
0.08,0.1,0,frame_4ch_probability
0.1,0.12,69,frame_4ch_probability
0.12,0.14,547,frame_4ch_probability
0.14,0.16,2133,frame_4ch_probability
0.16,0.18,5235,frame_4ch_probability
0.18,0.2,10698,frame_4ch_probability
0.2,0.22,18612,frame_4ch_probability
0.22,0.24,28632,frame_4ch_probability
0.24,0.26,39030,frame_4ch_probability
0.26,0.28,53078,frame_4ch_probability
0.28,0.3,66412,frame_4ch_probability
0.3,0.32,82034,frame_4ch_probability
0.32,0.34,97215,frame_4ch_probability
0.34,0.36,111198,frame_4ch_probability
0.36,0.38,123840,frame_4ch_probability
0.38,0.4,136775,frame_4ch_probability
0.4,0.42,147497,frame_4ch_probability
0.42,0.44,156289,frame_4ch_probability
0.44,0.46,170354,frame_4ch_probability
0.46,0.48,179280,frame_4ch_probability
0.48,0.5,187988,frame_4ch_probability
0.5,0.52,190295,frame_4ch_probability
0.52,0.54,188201,frame_4ch_probability
0.54,0.56,186521,frame_4ch_probability
0.56,0.58,184368,frame_4ch_probability
0.58,0.6,185365,frame_4ch_probability
0.6,0.62,187133,frame_4ch_probability
0.62,0.64,182604,frame_4ch_probability
0.64,0.66,187524,frame_4ch_probability
0.66,0.68,186151,frame_4ch_probability
0.68,0.7000000000000001,196831,frame_4ch_probability
0.7000000000000001,0.72,193850,frame_4ch_probability
0.72,0.74,205467,frame_4ch_probability
0.74,0.76,206099,frame_4ch_probability
0.76,0.78,219665,frame_4ch_probability
0.78,0.8,228478,frame_4ch_probability
0.8,0.8200000000000001,238549,frame_4ch_probability
0.8200000000000001,0.84,258887,frame_4ch_probability
0.84,0.86,274756,frame_4ch_probability
0.86,0.88,307122,frame_4ch_probability
0.88,0.9,345772,frame_4ch_probability
0.9,0.92,403571,frame_4ch_probability
0.92,0.9400000000000001,468269,frame_4ch_probability
0.9400000000000001,0.96,629282,frame_4ch_probability
0.96,0.98,901926,frame_4ch_probability
0.98,1.0,868168,frame_4ch_probability
0.0,0.02,0,video_max_4ch_probability
0.02,0.04,0,video_max_4ch_probability
0.04,0.06,0,video_max_4ch_probability
0.06,0.08,0,video_max_4ch_probability
0.08,0.1,0,video_max_4ch_probability
0.1,0.12,2,video_max_4ch_probability
0.12,0.14,25,video_max_4ch_probability
0.14,0.16,69,video_max_4ch_probability
0.16,0.18,178,video_max_4ch_probability
0.18,0.2,276,video_max_4ch_probability
0.2,0.22,480,video_max_4ch_probability
0.22,0.24,581,video_max_4ch_probability
0.24,0.26,753,video_max_4ch_probability
0.26,0.28,904,video_max_4ch_probability
0.28,0.3,1059,video_max_4ch_probability
0.3,0.32,1180,video_max_4ch_probability
0.32,0.34,1381,video_max_4ch_probability
0.34,0.36,1487,video_max_4ch_probability
0.36,0.38,1520,video_max_4ch_probability
0.38,0.4,1742,video_max_4ch_probability
0.4,0.42,1748,video_max_4ch_probability
0.42,0.44,1842,video_max_4ch_probability
0.44,0.46,1971,video_max_4ch_probability
0.46,0.48,2045,video_max_4ch_probability
0.48,0.5,2079,video_max_4ch_probability
0.5,0.52,2068,video_max_4ch_probability
0.52,0.54,2116,video_max_4ch_probability
0.54,0.56,2098,video_max_4ch_probability
0.56,0.58,2076,video_max_4ch_probability
0.58,0.6,2120,video_max_4ch_probability
0.6,0.62,2212,video_max_4ch_probability
0.62,0.64,2159,video_max_4ch_probability
0.64,0.66,2278,video_max_4ch_probability
0.66,0.68,2286,video_max_4ch_probability
0.68,0.7000000000000001,2495,video_max_4ch_probability
0.7000000000000001,0.72,2361,video_max_4ch_probability
0.72,0.74,2706,video_max_4ch_probability
0.74,0.76,2629,video_max_4ch_probability
0.76,0.78,2957,video_max_4ch_probability
0.78,0.8,3182,video_max_4ch_probability
0.8,0.8200000000000001,3251,video_max_4ch_probability
0.8200000000000001,0.84,3735,video_max_4ch_probability
0.84,0.86,3866,video_max_4ch_probability
0.86,0.88,4733,video_max_4ch_probability
0.88,0.9,5258,video_max_4ch_probability
0.9,0.92,6622,video_max_4ch_probability
0.92,0.9400000000000001,8031,video_max_4ch_probability
0.9400000000000001,0.96,11648,video_max_4ch_probability
0.96,0.98,20022,video_max_4ch_probability
0.98,1.0,32241,video_max_4ch_probability
